K,Accuracy,Absolute-False,,,,,K,Accuracy,Absolute-False,,,,,K,Accuracy,Absolute-False,,
50,0.922341372,0.026464387,,,,,50,0.9223,0.0265,,,,,50,92.23,2.65,MAX,MIN
100,0.928335639,0.024369111,,,,,100,0.9283,0.0244,,,,,100,92.83,2.44,92.83,2.44
150,0.925810107,0.025284971,,,,,150,0.9258,0.0253,,,,,150,92.58,2.53,,
200,0.924878764,0.025627594,,,,,200,0.9249,0.0256,,,,,200,92.49,2.56,,
250,0.92389998,0.025973513,,,,,250,0.9239,0.026,,,,,250,92.39,2.6,,
300,0.922170719,0.026576398,,,,,300,0.9222,0.0266,,,,,300,92.22,2.66,,
350,0.921362588,0.026846544,,,,,350,0.9214,0.0268,,,,,350,92.14,2.68,,
400,0.919505172,0.02747908,,,,,400,0.9195,0.0275,,,,,400,91.95,2.75,,
450,0.917753509,0.028075377,,,,,450,0.9178,0.0281,,,,,450,91.78,2.81,,
500,0.916253871,0.02857284,,,,,500,0.9163,0.0286,,,,,500,91.63,2.86,,
550,0.914801015,0.02903077,,,,,550,0.9148,0.029,,,,,550,91.48,2.9,,
600,0.912935692,0.029676484,,,,,600,0.9129,0.0297,,,,,600,91.29,2.97,,
650,0.911957897,0.030028991,,,,,650,0.912,0.03,,,,,650,91.2,3,,
700,0.909612242,0.030816367,,,,,700,0.9096,0.0308,,,,,700,90.96,3.08,,
750,0.908502339,0.031162285,,,,,750,0.9085,0.0312,,,%,,750,90.85,3.12,,
800,0.90711043,0.031636687,,,ROUND,,800,0.9071,0.0316,,,,,800,90.71,3.16,,
850,0.905662516,0.03207485,,,,,850,0.9057,0.0321,,,,,850,90.57,3.21,,
900,0.904182645,0.032625025,,,,,900,0.9042,0.0326,,,,,900,90.42,3.26,,
950,0.903034526,0.032987415,,,,,950,0.903,0.033,,,,,950,90.3,3.3,,
1000,0.901471305,0.033534295,,,,,1000,0.9015,0.0335,,,,,1000,90.15,3.35,,
1050,0.900901364,0.03368584,,,,,1050,0.9009,0.0337,,,,,1050,90.09,3.37,,
1100,0.899992093,0.034005403,,,,,1100,0.9,0.034,,,,,1100,90,3.4,,
1150,0.899725242,0.034071292,,,,,1150,0.8997,0.0341,,,,,1150,89.97,3.41,,
1200,0.897292284,0.034885023,,,,,1200,0.8973,0.0349,,,,,1200,89.73,3.49,,
1250,0.897293932,0.034888318,,,,,1250,0.8973,0.0349,,,,,1250,89.73,3.49,,
1300,0.896470317,0.035141991,,,,,1300,0.8965,0.0351,,,,,1300,89.65,3.51,,
1350,0.894636951,0.035764644,,,,,1350,0.8946,0.0358,,,,,1350,89.46,3.58,,
1400,0.894035712,0.035965606,,,,,1400,0.894,0.036,,,,,1400,89.4,3.6,,
1450,0.892787112,0.03639718,,,,,1450,0.8928,0.0364,,,,,1450,89.28,3.64,,
1500,0.891423206,0.03682546,,,,,1500,0.8914,0.0368,,,,,1500,89.14,3.68,,
1550,0.890622653,0.037151611,,,,,1550,0.8906,0.0372,,,,,1550,89.06,3.72,,
1600,0.889271925,0.037606246,,,,,1600,0.8893,0.0376,,,,,1600,88.93,3.76,,
1650,0.887553864,0.038153126,,,,,1650,0.8876,0.0382,,,,,1650,88.76,3.82,,
1700,0.885592014,0.038841668,,,,,1700,0.8856,0.0388,,,,,1700,88.56,3.88,,
1750,0.884532846,0.039207353,,,,,1750,0.8845,0.0392,,,,,1750,88.45,3.92,,
1800,0.883893721,0.039434671,,,,,1800,0.8839,0.0394,,,,,1800,88.39,3.94,,
1850,0.882720893,0.039816828,,,,,1850,0.8827,0.0398,,,,,1850,88.27,3.98,,
1900,0.881959873,0.040054029,,,,,1900,0.882,0.0401,,,,,1900,88.2,4.01,,
1950,0.881959873,0.04004744,,,,,1950,0.882,0.04,,,,,1950,88.2,4,,
2000,0.88003591,0.040693154,,,,,2000,0.88,0.0407,,,,,2000,88,4.07,,
2050,0.879284773,0.040966594,,,,,2050,0.8793,0.041,,,,,2050,87.93,4.1,,
2100,0.878332674,0.041259801,,,,,2100,0.8783,0.0413,,,,,2100,87.83,4.13,,
2150,0.877258681,0.041622191,,,,,2150,0.8773,0.0416,,,,,2150,87.73,4.16,,
2200,0.877019833,0.041714436,,,,,2200,0.877,0.0417,,,,,2200,87.7,4.17,,
2250,0.876231798,0.041987876,,,,,2250,0.8762,0.042,,,,,2250,87.62,4.2,,
2300,0.874805297,0.042475456,,,,,2300,0.8748,0.0425,,,,,2300,87.48,4.25,,
2350,0.874116756,0.042745602,,,,,2350,0.8741,0.0427,,,,,2350,87.41,4.27,,
2400,0.872861567,0.04315082,,,,,2400,0.8729,0.0432,,,,,2400,87.29,4.32,,
2450,0.872719905,0.043203532,,,,,2450,0.8727,0.0432,,,,,2450,87.27,4.32,,
2500,0.871398827,0.043644989,,,,,2500,0.8714,0.0436,,,,,2500,87.14,4.36,,
2550,0.870765632,0.04388219,,,,,2550,0.8708,0.0439,,,,,2550,87.08,4.39,,
2600,0.870033603,0.04415563,,,,,2600,0.87,0.0442,,,,,2600,87,4.42,,
2650,0.869503855,0.044320353,,,,,2650,0.8695,0.0443,,,,,2650,86.95,4.43,,
