Ace,Cro,Met,Suc,Glut
105,245,245,40,245
110,246,246,75,246
130,247,247,110,247
245,248,248,125,248
246,249,249,130,249
247,250,250,245,250
248,251,251,246,251
249,252,252,247,252
250,253,253,248,253
251,254,254,249,254
252,255,255,250,255
253,256,256,251,256
254,257,257,252,257
255,258,258,253,258
256,259,259,254,259
257,260,260,255,260
258,261,261,256,261
259,262,262,257,262
260,263,263,258,263
261,264,264,259,264
262,265,265,260,265
263,266,266,261,266
264,267,267,262,267
265,270,268,263,268
266,271,269,264,270
267,272,270,265,271
268,273,271,266,272
269,274,272,267,273
270,275,273,268,274
271,276,274,269,275
272,277,275,270,276
273,278,276,271,277
274,279,277,272,278
275,280,278,273,279
276,281,279,274,280
277,282,280,275,281
278,283,281,276,282
279,284,282,277,283
280,285,283,278,284
281,286,284,279,285
282,287,285,280,286
283,288,286,281,287
284,289,287,282,288
285,290,288,283,289
286,291,289,284,290
287,292,290,285,291
288,303,291,286,292
289,324,292,287,322
290,345,322,288,994
291,366,324,289,1036
292,387,396,290,1057
303,408,1336,291,1099
324,429,1434,292,1183
345,450,1479,781,1204
366,471,1580,784,1225
387,492,1624,818,1288
429,1057,1635,1339,1339
759,1288,1653,1393,1434
763,1334,1663,1432,1448
781,1335,1736,1434,1490
784,1490,1777,1443,1498
837,1498,1908,1444,1624
847,1504,1947,1474,1666
1388,1542,2031,1493,1688
1393,1574,2034,1504,1695
1435,1624,2036,1516,1698
1439,1771,2057,1544,1777
1493,1876,2064,1582,1876
1500,1931,2099,1684,1939
1542,1936,2113,1686,1947
1582,1946,2174,1808,2086
1808,1983,2309,1828,2099
1828,1985,2370,1829,2128
1829,2023,2430,1834,2132
1834,2099,2510,1868,2179
1868,2212,2514,1872,2212
1934,2380,2608,1875,2309
1936,2386,2736,1934,2377
1939,2424,2796,1943,2380
1943,2426,2872,2293,2386
1983,2461,2944,2309,2553
2270,2519,2955,2351,2580
2275,2553,2979,2356,2758
2375,2821,2981,2375,2776
2382,2865,2995,2398,2821
2424,2867,3000,2566,2828
2458,2897,3060,2568,2979
2699,2905,3061,2662,3018
2711,2923,3100,2716,3052
2716,2958,3197,2767,3061
2750,2979,3205,2792,3102
2816,3015,3217,2797,3197
2825,3061,3307,2816,3217
2865,3205,3380,3018,3219
2907,3254,3385,3091,3262
3091,3262,3396,3152,3371
3152,3268,3408,3157,3380
3157,3304,3430,3257,3395
3256,3306,3436,3443,3430
3257,3308,3502,3448,3451
